Comisión Nacional del Agua
Subdirección General Técnica
Estación: Finca Argovia
Clave: ARGOVIA
Estado: Chiapas
Municipio: Tapachula

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
2011/07/20,3.80,-,-,-,
2011/07/21,1.40,-,-,-,
2011/07/22,53.80,-,-,-,
2011/07/23,2.10,-,-,-,
2011/07/24,14.10,-,-,-,
2011/07/25,4.90,-,-,-,
2011/07/26,8.50,-,-,-,
2011/07/27,44.90,-,-,-,
2011/07/28,7.20,-,-,-,
2011/07/29,2.80,-,-,-,
2011/07/30,10.70,-,-,-,
2011/07/31,10.10,-,-,-,
2011/08/01,36.50,-,-,-,
2011/08/02,11.80,-,-,-,
2011/08/03,69.20,-,-,-,
2011/08/04,0.50,-,-,-,
2011/08/05,2.70,-,-,-,
2011/08/06,14.80,-,-,-,
2011/08/07,45.40,-,-,-,
2011/08/08,64.90,-,-,-,
2011/08/09,34.60,-,-,-,
2011/08/10,0.60,-,-,-,
2011/08/11,26.50,-,-,-,
2011/08/12,0.50,-,-,-,
2011/08/13,0.00,-,-,-,
2011/08/14,23.30,-,-,-,
2011/08/15,67.60,-,-,-,
2011/08/16,34.10,-,-,-,
2011/08/17,26.70,-,-,-,
2011/08/18,58.00,-,-,-,
2011/08/19,0.30,-,-,-,
2011/08/20,28.60,-,-,-,
2011/08/21,12.20,-,-,-,
2011/08/22,10.30,-,-,-,
2011/08/23,149.40,-,-,-,
2011/08/24,37.00,-,-,-,
2011/08/25,50.10,-,-,-,
2011/08/26,33.10,-,-,-,
2011/08/27,54.30,-,-,-,
2011/08/28,29.30,-,-,-,
2011/08/29,32.60,-,-,-,
2011/08/30,15.00,-,-,-,
2011/08/31,85.50,-,-,-,
2011/09/01,108.40,-,-,-,
2011/09/02,21.60,-,-,-,
2011/09/03,32.70,-,-,-,
2011/09/04,2.80,-,-,-,
2011/09/05,18.30,-,-,-,
2011/09/06,77.00,-,-,-,
2011/09/07,20.00,-,-,-,
2011/09/08,10.20,-,-,-,
2011/09/09,0.00,-,-,-,
2011/09/10,104.40,-,-,-,
2011/09/11,7.20,-,-,-,
2011/09/12,10.70,-,-,-,
2011/09/13,25.20,-,-,-,
2011/09/14,71.90,-,-,-,
2011/09/15,12.40,-,-,-,
2011/09/16,32.00,-,-,-,
2011/09/17,7.70,-,-,-,
2011/09/18,6.70,-,-,-,
2011/09/19,36.30,-,-,-,
2011/09/20,115.50,-,-,-,
2011/09/21,5.00,-,-,-,
2011/09/22,9.50,-,-,-,
2011/09/23,14.00,-,-,-,
2011/09/24,29.70,-,-,-,
2011/09/25,2.50,-,-,-,
2011/09/26,83.80,-,-,-,
2011/09/27,6.80,-,-,-,
2011/09/28,92.10,-,-,-,
2011/09/29,15.20,-,-,-,
2011/09/30,34.10,-,-,-,
2011/10/01,43.60,-,-,-,
2011/10/02,23.60,-,-,-,
2011/10/03,2.20,-,-,-,
2011/10/04,23.50,-,-,-,
2011/10/05,49.90,-,-,-,
2011/10/06,9.60,-,-,-,
2011/10/07,21.50,-,-,-,
2011/10/08,10.10,-,-,-,
2011/10/09,14.80,-,-,-,
2011/10/10,13.60,-,-,-,
2011/10/11,35.70,-,-,-,
2011/10/12,39.40,-,-,-,
2011/10/13,63.30,-,-,-,
2011/10/14,12.10,-,-,-,
2011/10/15,0.30,-,-,-,
2011/10/16,6.20,-,-,-,
2011/10/17,11.60,-,-,-,
2011/10/18,22.60,-,-,-,
2011/10/19,79.70,-,-,-,
2011/10/20,1.20,-,-,-,
2011/10/21,0.00,-,-,-,
2011/10/22,0.00,-,-,-,
2011/10/23,9.70,-,-,-,
2011/10/24,45.50,-,-,-,
2011/10/25,0.00,-,-,-,
2011/10/26,0.40,-,-,-,
2011/10/27,22.30,-,-,-,
2011/10/28,0.00,-,-,-,
2011/10/29,0.00,-,-,-,
2011/10/30,0.00,-,-,-,
2011/10/31,0.00,-,-,-,
2011/11/01,0.30,-,-,-,
2011/11/02,7.30,-,-,-,
2011/11/03,0.00,-,-,-,
2011/11/04,0.00,-,-,-,
2011/11/05,0.20,-,-,-,
2011/11/06,14.00,-,-,-,
2011/11/07,0.00,-,-,-,
2011/11/08,30.80,-,-,-,
2011/11/09,0.00,-,-,-,
2011/11/10,0.00,-,-,-,
2011/11/11,0.00,-,-,-,
2011/11/12,0.00,-,-,-,
2011/11/13,0.00,-,-,-,
2011/11/14,0.90,-,-,-,
2011/11/15,0.20,-,-,-,
2011/11/16,0.00,-,-,-,
2011/11/17,9.30,-,-,-,
2011/11/18,1.40,-,-,-,
2011/11/19,0.30,-,-,-,
2011/11/20,0.40,-,-,-,
2011/11/21,0.30,-,-,-,
2011/11/22,0.00,-,-,-,
2011/11/23,0.00,-,-,-,
2011/11/24,0.00,-,-,-,
2011/11/25,0.00,-,-,-,
2011/11/26,0.00,-,-,-,
2011/11/27,0.00,-,-,-,
2011/11/28,0.00,-,-,-,
2011/11/29,0.00,-,-,-,
2011/11/30,0.00,-,-,-,
2011/12/01,0.00,-,-,-,
2011/12/02,0.00,-,-,-,
2011/12/03,0.40,-,-,-,
2011/12/04,0.00,-,-,-,
2011/12/05,0.00,-,-,-,
2011/12/06,0.00,-,-,-,
2011/12/07,0.00,-,-,-,
2011/12/08,0.00,-,-,-,
2011/12/09,0.00,-,-,-,
2011/12/10,0.30,-,-,-,
2011/12/11,0.20,-,-,-,
2011/12/12,0.20,-,-,-,
2011/12/13,0.00,-,-,-,
2011/12/14,0.00,-,-,-,
2011/12/15,0.00,-,-,-,
2011/12/16,0.00,-,-,-,
2011/12/17,0.00,-,-,-,
2011/12/18,0.00,-,-,-,
2011/12/19,0.00,-,-,-,
2011/12/20,8.70,-,-,-,
2011/12/21,0.00,-,-,-,
2011/12/22,0.00,-,-,-,
2011/12/23,0.00,-,-,-,
2011/12/24,0.00,-,-,-,
2011/12/25,0.00,-,-,-,
2011/12/26,0.00,-,-,-,
2011/12/27,0.00,-,-,-,
2011/12/28,0.00,-,-,-,
2011/12/29,0.00,-,-,-,
2011/12/30,0.00,-,-,-,
2011/12/31,0.10,-,-,-,
2012/01/01,0.00,-,-,-,
2012/01/02,0.00,-,-,-,
2012/01/03,0.20,-,-,-,
2012/01/04,0.00,-,-,-,
2012/01/05,0.20,-,-,-,
2012/01/06,1.70,-,-,-,
2012/01/07,0.00,-,-,-,
2012/01/08,0.00,-,-,-,
2012/01/09,0.00,-,-,-,
2012/01/10,0.00,-,-,-,
2012/01/11,0.10,-,-,-,
2012/01/12,0.10,-,-,-,
2012/01/13,0.30,-,-,-,
2012/01/14,0.00,-,-,-,
2012/01/15,31.60,-,-,-,
2012/01/16,1.60,-,-,-,
2012/01/17,0.00,-,-,-,
2012/01/18,0.00,-,-,-,
2012/01/19,0.00,-,-,-,
2012/01/20,0.00,-,-,-,
2012/01/21,0.00,-,-,-,
2012/01/22,0.00,-,-,-,
2012/01/23,0.00,-,-,-,
2012/01/24,0.10,-,-,-,
2012/01/25,0.10,-,-,-,
2012/01/26,0.00,-,-,-,
2012/01/27,0.00,-,-,-,
2012/01/28,0.00,-,-,-,
2012/01/29,-,-,-,-,
2012/01/30,-,-,-,-,
2012/01/31,-,-,-,-,
2012/02/01,-,-,-,-,
2012/02/02,-,-,-,-,
2012/02/03,-,-,-,-,
2012/02/04,-,-,-,-,
2012/02/05,-,-,-,-,
2012/02/06,-,-,-,-,
2012/02/07,-,-,-,-,
2012/02/08,-,-,-,-,
2012/02/09,-,-,-,-,
2012/02/10,-,-,-,-,
2012/02/11,-,-,-,-,
2012/02/12,-,-,-,-,
2012/02/13,-,-,-,-,
2012/02/14,-,-,-,-,
2012/02/15,-,-,-,-,
2012/02/16,-,-,-,-,
2012/02/17,-,-,-,-,
2012/02/18,-,-,-,-,
2012/02/19,-,-,-,-,
2012/02/20,0.00,-,-,-,
2012/02/21,0.00,-,-,-,
2012/02/22,0.00,-,-,-,
2012/02/23,0.00,-,-,-,
2012/02/24,0.00,-,-,-,
2012/02/25,0.00,-,-,-,
