Comisión Nacional del Agua
Subdirección General Técnica
Estación: Adolfo Ruiz Cortines
Clave: C07370
Estado: Chiapas
Municipio: Mazatán

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
1984/07/01,0.00,27.50,33.00,22.00,-
1984/07/02,83.50,27.00,32.00,22.00,-
1984/07/03,0.00,26.25,32.00,20.50,-
1984/07/04,3.50,26.25,32.00,20.50,-
1984/07/05,1.00,26.00,32.00,20.00,-
1984/07/06,1.50,26.25,32.00,20.50,-
1984/07/07,0.00,25.50,30.00,21.00,-
1984/07/08,1.50,25.50,30.00,21.00,-
1984/07/09,1.50,26.00,31.00,21.00,-
1984/07/10,0.00,27.25,33.00,21.50,-
1984/07/11,0.50,26.50,32.00,21.00,-
1984/07/12,1.50,28.00,34.00,22.00,-
1984/07/13,4.50,27.00,32.00,22.00,-
1984/07/14,0.00,27.50,33.00,22.00,-
1984/07/15,0.00,26.75,32.50,21.00,-
1984/07/16,0.00,26.75,32.00,21.50,-
1984/07/17,0.00,26.00,31.00,21.00,-
1984/07/18,0.00,28.25,35.50,21.00,-
1984/07/19,0.00,26.75,32.00,21.50,-
1984/07/20,0.00,26.50,31.00,22.00,-
1984/07/21,0.00,26.50,31.00,22.00,-
1984/07/22,0.00,26.00,31.00,21.00,-
1984/07/23,0.00,26.00,31.00,21.00,-
1984/07/24,0.00,26.00,31.00,21.00,-
1984/07/25,0.00,27.50,34.00,21.00,-
1984/07/26,0.00,26.75,31.00,22.50,-
1984/07/27,0.50,26.50,31.00,22.00,-
1984/07/28,0.00,26.75,32.00,21.50,-
1984/07/29,2.00,26.50,31.00,22.00,-
1984/07/30,11.50,28.25,35.50,21.00,-
1984/07/31,5.50,26.25,31.50,21.00,-
1984/08/01,0.00,28.50,36.00,21.00,-
1984/08/02,0.00,26.00,31.00,21.00,-
1984/08/03,2.00,28.00,35.00,21.00,-
1984/08/04,0.00,28.50,36.00,21.00,-
1984/08/05,0.00,27.00,33.00,21.00,-
1984/08/06,1.00,27.50,34.00,21.00,-
1984/08/07,0.00,27.50,34.00,21.00,-
1984/08/08,0.00,27.50,34.00,21.00,-
1984/08/09,1.00,27.50,34.00,21.00,-
1984/08/10,0.00,27.00,33.00,21.00,-
1984/08/11,1.50,27.50,33.00,22.00,-
1984/08/12,1.00,26.50,32.00,21.00,-
1984/08/13,34.50,26.50,32.00,21.00,-
1984/08/14,0.00,28.00,34.00,22.00,-
1984/08/15,0.00,26.50,32.00,21.00,-
1984/08/16,0.00,28.00,33.00,23.00,-
1984/08/17,4.00,28.00,34.00,22.00,-
1984/08/18,22.00,27.00,33.00,21.00,-
1984/08/19,0.00,27.50,33.00,22.00,-
1984/08/20,2.00,26.50,31.00,22.00,-
1984/08/21,20.00,26.50,32.00,21.00,-
1984/08/22,0.00,27.00,33.00,21.00,-
1984/08/23,0.00,27.00,33.00,21.00,-
1984/08/24,0.00,27.00,33.00,21.00,-
1984/08/25,0.00,27.00,33.00,21.00,-
1984/08/26,0.00,27.00,33.00,21.00,-
1984/08/27,0.00,27.00,33.00,21.00,-
1984/08/28,0.00,26.50,32.00,21.00,-
1984/08/29,0.00,26.00,31.00,21.00,-
1984/08/30,0.00,26.00,30.00,22.00,-
1984/08/31,0.00,26.25,31.50,21.00,-
1984/09/01,60.00,26.00,31.00,21.00,-
1984/09/02,22.50,26.50,32.00,21.00,-
1984/09/03,0.00,26.50,32.00,21.00,-
1984/09/04,1.50,27.00,33.00,21.00,-
1984/09/05,0.00,27.00,32.00,22.00,-
1984/09/06,0.00,27.50,33.00,22.00,-
1984/09/07,0.00,27.50,33.00,22.00,-
1984/09/08,0.00,27.50,33.00,22.00,-
1984/09/09,4.50,27.50,33.00,22.00,-
1984/09/10,4.50,28.00,34.00,22.00,-
1984/09/11,44.00,27.00,32.00,22.00,-
1984/09/12,104.00,26.50,33.00,20.00,-
1984/09/13,0.00,26.00,32.00,20.00,-
1984/09/14,1.50,26.00,31.00,21.00,-
1984/09/15,4.50,25.50,29.00,22.00,-
1984/09/16,1.50,27.00,32.00,22.00,-
1984/09/17,0.00,27.00,32.00,22.00,-
1984/09/18,1.50,27.00,32.00,22.00,-
1984/09/19,61.00,26.50,31.00,22.00,-
1984/09/20,22.00,26.50,31.00,22.00,-
1984/09/21,1.50,26.50,32.00,21.00,-
1984/09/22,0.00,26.50,32.00,21.00,-
1984/09/23,9.00,26.50,32.00,21.00,-
1984/09/24,4.00,27.00,32.00,22.00,-
1984/09/25,0.00,27.00,32.00,22.00,-
1984/09/26,60.50,27.00,32.00,22.00,-
1984/09/27,0.00,27.00,32.00,22.00,-
1984/09/28,0.00,27.50,33.00,22.00,-
1984/09/29,0.00,27.00,33.00,21.00,-
