Comisión Nacional del Agua
Subdirección General Técnica
Estación: Cacahoatán
Clave: C07018
Estado: Chiapas
Municipio: Cacahoatán

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
1944/05/15,5.20,-,-,-,-
1944/05/16,0.00,26.00,33.50,18.50,-
1944/05/17,5.90,26.75,34.00,19.50,-
1944/05/18,0.00,25.25,31.00,19.50,-
1944/05/19,11.40,25.50,32.50,18.50,-
1944/05/20,17.50,28.00,33.00,23.00,-
1944/05/21,13.50,25.25,32.00,18.50,-
1944/05/22,98.50,25.50,32.00,19.00,-
1944/05/23,2.80,26.00,31.50,20.50,-
1944/05/24,11.50,27.00,33.00,21.00,-
1944/05/25,0.00,27.00,33.00,21.00,-
1944/05/26,6.50,26.75,33.00,20.50,-
1944/05/27,47.00,29.75,35.00,24.50,-
1944/05/28,20.50,26.25,32.00,20.50,-
1944/05/29,23.80,25.25,30.00,20.50,-
1944/05/30,50.00,26.50,31.00,22.00,-
1944/05/31,95.00,24.75,30.00,19.50,-
1944/06/01,152.50,25.00,30.00,20.00,5.25
1944/06/02,4.50,24.25,28.50,20.00,4.50
1944/06/03,49.50,22.50,25.00,20.00,4.95
1944/06/04,7.50,23.75,28.00,19.50,7.50
1944/06/05,28.00,26.25,30.50,22.00,2.80
1944/06/06,5.50,28.50,36.00,21.00,5.50
1944/06/07,45.00,25.25,30.50,20.00,4.50
1944/06/08,8.20,23.50,28.00,19.00,8.20
1944/06/09,14.00,25.50,29.00,22.00,14.00
1944/06/10,17.00,26.50,27.50,25.50,1.70
1944/06/11,15.00,24.25,27.50,21.00,1.50
1944/06/12,4.00,24.25,27.50,21.00,4.00
1944/06/13,0.00,24.75,30.00,19.50,-
1944/06/14,0.00,25.75,32.00,19.50,-
1944/06/15,0.00,26.00,31.00,21.00,-
1944/06/16,0.00,26.00,30.50,21.50,-
1944/06/17,13.50,26.00,31.50,20.50,1.35
1944/06/18,12.50,26.00,30.50,21.50,1.25
1944/06/19,30.50,25.75,30.50,21.00,3.05
1944/06/20,4.80,25.25,29.50,21.00,4.80
1944/06/21,34.00,27.50,35.00,20.00,3.40
1944/06/22,45.00,27.50,35.00,20.00,4.50
1944/06/23,6.80,27.00,33.00,21.00,6.80
1944/06/24,26.80,25.75,32.00,19.50,2.68
1944/06/25,45.80,25.75,32.00,19.50,4.58
1944/06/26,111.50,26.50,32.00,21.00,5.00
1944/06/27,18.00,26.50,32.50,20.50,1.80
1944/06/28,20.50,27.25,32.50,22.00,2.05
1944/06/29,8.50,27.00,32.00,22.00,8.50
1944/06/30,9.00,27.25,32.00,22.50,9.00
1944/07/01,13.50,27.75,33.00,22.50,-
1944/07/02,8.00,26.75,32.00,21.50,-
1944/07/03,1.00,27.75,32.00,23.50,-
1944/07/04,1.50,26.25,31.00,21.50,-
1944/07/05,0.00,26.25,33.00,19.50,-
1944/07/06,6.50,29.25,33.00,25.50,-
1944/07/07,0.00,27.75,32.00,23.50,-
1944/07/08,2.50,27.00,32.00,22.00,-
1944/07/09,19.50,28.25,32.00,24.50,-
1944/07/10,17.00,26.50,32.50,20.50,-
1944/07/11,9.00,26.75,33.00,20.50,-
1944/07/12,3.50,27.25,34.00,20.50,-
1944/07/13,0.00,29.00,34.50,23.50,-
1944/07/14,0.00,27.25,31.00,23.50,-
1944/07/15,13.00,26.25,32.00,20.50,-
1944/07/16,0.50,26.50,33.00,20.00,-
1944/07/17,0.00,28.50,33.50,23.50,-
1944/07/18,35.50,27.00,31.00,23.00,-
1944/07/19,0.00,27.00,32.00,22.00,-
1944/07/20,0.00,29.00,32.00,26.00,-
1944/07/21,0.00,28.75,32.00,25.50,-
1944/07/22,5.80,28.00,32.00,24.00,-
1944/07/23,4.00,27.25,30.50,24.00,-
1944/07/24,0.00,28.00,32.50,23.50,-
1944/07/25,11.50,27.50,31.50,23.50,-
1944/07/26,0.00,27.75,32.00,23.50,-
1944/07/27,14.00,26.75,29.50,24.00,-
1944/07/28,21.00,26.25,31.00,21.50,-
1944/07/29,10.00,25.50,31.50,19.50,-
1944/07/30,12.00,29.50,32.00,27.00,-
1944/07/31,9.00,30.00,32.00,28.00,-
1944/08/01,0.20,30.50,32.50,28.50,-
1944/08/02,13.00,28.75,32.50,25.00,-
1944/08/03,12.00,26.25,28.50,24.00,-
1944/08/04,2.00,29.50,32.50,26.50,-
1944/08/05,14.00,29.75,32.50,27.00,-
1944/08/06,0.00,28.50,31.50,25.50,-
1944/08/07,6.50,28.00,31.00,25.00,-
1944/08/08,19.00,26.50,31.50,21.50,-
1944/08/09,26.00,26.75,30.00,23.50,-
1944/08/10,5.00,27.50,31.00,24.00,-
1944/08/11,0.80,28.25,32.00,24.50,-
1944/08/12,9.80,28.75,32.00,25.50,-
1944/08/13,49.50,31.00,37.00,25.00,-
1944/08/14,0.00,24.75,32.00,17.50,-
1944/08/15,32.00,28.00,32.00,24.00,-
1944/08/16,0.00,25.75,32.00,19.50,-
1944/08/17,1.00,28.75,32.00,25.50,-
1944/08/18,0.50,28.75,33.00,24.50,-
1944/08/19,3.50,29.25,32.50,26.00,-
1944/08/20,46.50,27.75,31.00,24.50,-
1944/08/21,7.00,28.25,32.00,24.50,-
1944/08/22,17.00,28.25,31.00,25.50,-
1944/08/23,61.00,26.50,31.00,22.00,-
1944/08/24,57.50,27.00,31.00,23.00,-
1944/08/25,0.00,27.75,30.00,25.50,-
1944/08/26,0.00,26.75,29.50,24.00,-
1944/08/27,1.50,30.50,33.00,28.00,-
1944/08/28,0.00,29.00,32.00,26.00,-
1944/08/29,2.50,28.00,31.00,25.00,-
1944/08/30,4.50,28.00,31.00,25.00,-
1944/08/31,40.00,29.00,31.00,27.00,-
1944/09/01,20.00,26.00,29.00,23.00,-
1944/09/02,72.80,25.25,30.00,20.50,-
1944/09/03,4.50,25.50,29.00,22.00,-
1944/09/04,124.50,27.00,30.00,24.00,-
1944/09/05,26.00,27.00,31.00,23.00,-
1944/09/06,20.00,25.75,28.50,23.00,-
1944/09/07,46.50,27.50,31.00,24.00,-
1944/09/08,3.50,27.75,30.50,25.00,-
1944/09/09,11.00,27.25,32.00,22.50,-
1944/09/10,24.50,28.50,31.50,25.50,-
1944/09/11,21.00,27.75,31.00,24.50,-
1944/09/12,12.00,28.25,30.50,26.00,-
1944/09/13,3.80,26.50,31.50,21.50,-
1944/09/14,0.00,28.50,32.00,25.00,-
1944/09/15,50.50,28.25,31.00,25.50,-
1944/09/16,2.80,28.50,32.50,24.50,-
1944/09/17,30.00,28.00,31.00,25.00,-
1944/09/18,5.80,28.00,31.50,24.50,-
1944/09/19,60.00,27.50,31.00,24.00,-
1944/09/20,26.80,26.25,31.50,21.00,-
1944/09/21,118.50,28.00,30.00,26.00,-
1944/09/22,200.00,25.25,28.50,22.00,-
1944/09/23,31.80,23.00,25.50,20.50,-
1944/09/24,0.50,24.75,28.50,21.00,-
1944/09/25,5.00,25.00,31.00,19.00,-
1944/09/26,25.00,25.25,30.00,20.50,-
1944/09/27,3.00,25.50,31.00,20.00,-
1944/09/28,14.80,28.25,32.00,24.50,-
1944/09/29,26.50,28.75,31.50,26.00,-
1944/09/30,0.00,-,-,-,-
1944/10/01,-,-,-,-,-
1944/10/02,-,-,-,-,-
1944/10/03,-,-,-,-,-
1944/10/04,-,-,-,-,-
1944/10/05,-,-,-,-,-
1944/10/06,-,-,-,-,-
1944/10/07,-,-,-,-,-
1944/10/08,-,-,-,-,-
1944/10/09,-,-,-,-,-
1944/10/10,-,-,-,-,-
1944/10/11,-,-,-,-,-
1944/10/12,-,-,-,-,-
1944/10/13,-,-,-,-,-
1944/10/14,-,-,-,-,-
1944/10/15,-,-,-,-,-
1944/10/16,-,-,-,-,-
1944/10/17,-,-,-,-,-
1944/10/18,-,-,-,-,-
1944/10/19,-,-,-,-,-
1944/10/20,-,-,-,-,-
1944/10/21,-,-,-,-,-
1944/10/22,-,-,-,-,-
1944/10/23,-,-,-,-,-
1944/10/24,-,-,-,-,-
1944/10/25,-,-,-,-,-
1944/10/26,-,-,-,-,-
1944/10/27,-,-,-,-,-
1944/10/28,-,-,-,-,-
1944/10/29,-,-,-,-,-
1944/10/30,-,-,-,-,-
1944/10/31,-,-,-,-,-
1944/11/01,-,-,-,-,-
1944/11/02,-,-,-,-,-
1944/11/03,-,-,-,-,-
1944/11/04,-,-,-,-,-
1944/11/05,-,-,-,-,-
1944/11/06,-,-,-,-,-
1944/11/07,-,-,-,-,-
1944/11/08,-,-,-,-,-
1944/11/09,-,-,-,-,-
1944/11/10,-,-,-,-,-
1944/11/11,-,-,-,-,-
1944/11/12,-,-,-,-,-
