Comisión Nacional del Agua
Subdirección General Técnica
Estación: Finca Chicharras
Clave: C07057
Estado: Chiapas
Municipio: Tapachula

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
1961/01/01,0.00,22.00,28.00,16.00,1.90
1961/01/02,0.00,22.50,28.00,17.00,3.70
1961/01/03,0.00,21.50,27.00,16.00,1.30
1961/01/04,0.00,22.50,28.00,17.00,1.40
1961/01/05,0.00,22.00,28.00,16.00,2.50
1961/01/06,1.00,22.00,28.00,16.00,1.60
1961/01/07,0.00,23.00,29.00,17.00,2.90
1961/01/08,0.00,22.50,28.00,17.00,3.40
1961/01/09,0.00,22.50,28.00,17.00,4.00
1961/01/10,0.00,21.50,27.00,16.00,4.40
1961/01/11,0.00,22.00,28.00,16.00,2.80
1961/01/12,0.00,22.00,27.00,17.00,4.50
1961/01/13,0.00,22.00,27.00,17.00,2.70
1961/01/14,0.00,21.50,27.00,16.00,1.30
1961/01/15,1.00,22.00,28.00,16.00,2.80
1961/01/16,0.00,22.00,27.00,17.00,1.00
1961/01/17,0.00,21.00,26.00,16.00,1.40
1961/01/18,0.00,21.00,27.00,15.00,2.60
1961/01/19,0.00,21.00,26.00,16.00,3.30
1961/01/20,0.00,21.50,26.00,17.00,1.10
1961/01/21,0.00,21.50,27.00,16.00,3.30
1961/01/22,0.00,22.50,29.00,16.00,2.80
1961/01/23,0.00,21.50,27.00,16.00,3.30
1961/01/24,0.00,21.50,26.00,17.00,2.80
1961/01/25,0.00,23.50,29.00,18.00,2.60
1961/01/26,0.00,23.50,30.00,17.00,2.70
1961/01/27,0.00,22.00,28.00,16.00,3.00
1961/01/28,0.00,21.50,26.00,17.00,4.20
1961/01/29,0.00,21.00,26.00,16.00,1.40
1961/01/30,0.00,21.50,26.00,17.00,1.70
1961/01/31,34.50,22.00,27.00,17.00,1.70
1961/02/01,4.50,20.00,24.00,16.00,1.20
1961/02/02,0.00,21.50,27.00,16.00,3.80
1961/02/03,0.00,21.00,27.00,15.00,2.80
1961/02/04,0.00,21.00,27.00,15.00,2.60
1961/02/05,60.00,19.00,22.00,16.00,2.40
1961/02/06,22.00,20.00,23.00,17.00,1.10
1961/02/07,0.00,19.00,22.00,16.00,3.20
1961/02/08,0.00,21.00,26.00,16.00,2.40
1961/02/09,0.00,19.00,22.00,16.00,3.00
1961/02/10,30.00,21.50,27.00,16.00,5.00
1961/02/11,0.00,20.50,25.00,16.00,2.90
1961/02/12,23.00,22.00,28.00,16.00,4.40
1961/02/13,0.00,19.00,22.00,16.00,3.60
1961/02/14,0.00,22.00,27.00,17.00,3.60
1961/02/15,1.00,22.50,28.00,17.00,1.40
1961/02/16,0.00,22.50,29.00,16.00,4.50
1961/02/17,0.00,23.00,29.00,17.00,3.20
1961/02/18,0.00,20.00,24.00,16.00,2.00
1961/02/19,0.00,21.50,26.00,17.00,2.20
1961/02/20,0.00,21.50,26.00,17.00,1.70
1961/02/21,0.00,21.50,26.00,17.00,2.50
1961/02/22,1.00,22.00,27.00,17.00,2.80
1961/02/23,1.00,20.00,23.00,17.00,1.10
1961/02/24,0.00,21.00,26.00,16.00,1.60
1961/02/25,0.00,21.00,25.00,17.00,4.10
1961/02/26,0.00,22.50,28.00,17.00,3.60
1961/02/27,0.00,22.50,29.00,16.00,3.90
1961/02/28,0.00,22.50,27.00,18.00,3.70
1961/03/01,0.00,23.50,30.00,17.00,5.10
1961/03/02,0.00,22.00,27.00,17.00,2.00
1961/03/03,0.00,21.50,27.00,16.00,0.80
1961/03/04,0.00,22.50,28.00,17.00,3.30
1961/03/05,0.00,20.00,23.00,17.00,3.10
1961/03/06,0.00,24.00,30.00,18.00,5.70
1961/03/07,0.00,22.50,28.00,17.00,2.60
1961/03/08,0.00,20.50,24.00,17.00,1.30
1961/03/09,0.00,21.50,27.00,16.00,3.60
1961/03/10,0.00,20.50,26.00,15.00,2.90
1961/03/11,0.00,23.00,29.00,17.00,2.30
1961/03/12,0.00,21.00,26.00,16.00,2.00
1961/03/13,2.00,21.00,25.00,17.00,2.00
1961/03/14,0.00,21.50,26.00,17.00,3.40
1961/03/15,0.00,22.50,28.00,17.00,4.20
1961/03/16,0.00,21.50,27.00,16.00,2.60
1961/03/17,0.00,21.50,27.00,16.00,2.90
1961/03/18,0.00,22.50,29.00,16.00,4.60
1961/03/19,0.00,22.50,28.00,17.00,2.90
1961/03/20,0.00,22.50,28.00,17.00,2.80
1961/03/21,0.00,21.50,26.00,17.00,1.80
1961/03/22,6.00,21.50,27.00,16.00,2.20
1961/03/23,91.00,21.50,27.00,16.00,0.90
1961/03/24,5.00,22.50,29.00,16.00,3.20
1961/03/25,6.00,22.00,27.00,17.00,2.50
1961/03/26,4.00,23.00,29.00,17.00,0.50
1961/03/27,3.00,22.00,27.00,17.00,2.40
1961/03/28,0.00,22.50,27.00,18.00,2.80
1961/03/29,0.00,22.50,28.00,17.00,3.80
1961/03/30,1.00,21.00,25.00,17.00,3.30
1961/03/31,0.00,22.25,26.50,18.00,3.90
1961/04/01,9.00,20.50,24.00,17.00,1.00
1961/04/02,34.00,21.50,27.00,16.00,2.80
1961/04/03,24.00,23.00,28.00,18.00,3.10
1961/04/04,17.00,22.50,27.00,18.00,2.00
1961/04/05,15.00,21.00,25.00,17.00,3.30
1961/04/06,0.00,22.00,28.00,16.00,3.20
1961/04/07,0.00,22.00,27.00,17.00,1.80
1961/04/08,71.00,22.00,27.00,17.00,2.60
1961/04/09,0.00,22.50,27.00,18.00,3.40
1961/04/10,0.00,22.50,27.00,18.00,2.50
1961/04/11,0.00,23.00,27.00,19.00,1.80
1961/04/12,0.00,22.50,28.00,17.00,3.80
