Comisión Nacional del Agua
Subdirección General Técnica
Estación: Malpaso
Clave: C07191
Estado: Chiapas
Municipio: Tapachula

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
1961/01/01,0.00,25.25,33.00,17.50,2.80
1961/01/02,0.00,25.75,33.00,18.50,3.40
1961/01/03,0.00,25.50,33.50,17.50,3.30
1961/01/04,0.00,24.75,32.50,17.00,3.60
1961/01/05,0.00,25.00,32.50,17.50,3.40
1961/01/06,0.00,24.75,32.00,17.50,3.00
1961/01/07,0.00,25.00,34.50,15.50,-
1961/01/08,0.00,25.50,34.00,17.00,4.10
1961/01/09,0.00,26.25,34.00,18.50,3.70
1961/01/10,0.00,24.50,32.00,17.00,3.00
1961/01/11,0.00,25.00,33.50,16.50,3.30
1961/01/12,0.00,26.00,35.00,17.00,3.50
1961/01/13,1.00,25.50,35.00,16.00,1.70
1961/01/14,0.00,26.00,35.50,16.50,3.40
1961/01/15,13.50,25.25,34.50,16.00,4.00
1961/01/16,0.00,25.50,33.50,17.50,3.20
1961/01/17,0.00,25.00,32.00,18.00,3.30
1961/01/18,0.00,24.50,32.00,17.00,3.60
1961/01/19,0.00,25.25,33.00,17.50,3.50
1961/01/20,0.00,25.75,34.00,17.50,3.30
1961/01/21,0.00,25.25,32.50,18.00,3.20
1961/01/22,0.00,23.75,32.50,15.00,3.90
1961/01/23,0.00,25.25,34.50,16.00,3.70
1961/01/24,0.00,26.50,35.50,17.50,4.10
1961/01/25,0.00,25.75,35.00,16.50,3.40
1961/01/26,0.00,26.25,34.00,18.50,3.50
1961/01/27,0.00,25.75,35.00,16.50,3.50
1961/01/28,0.00,25.50,33.50,17.50,4.10
1961/01/29,0.00,26.00,34.00,18.00,4.00
1961/01/30,0.00,26.00,33.50,18.50,2.10
1961/01/31,39.00,27.00,34.50,19.50,4.60
1961/02/01,0.00,24.75,29.50,20.00,1.50
1961/02/02,0.00,26.00,32.50,19.50,3.70
1961/02/03,0.00,23.75,32.00,15.50,3.40
1961/02/04,0.00,25.00,33.00,17.00,2.70
1961/02/05,0.00,25.00,31.00,19.00,3.60
1961/02/06,0.00,25.75,31.50,20.00,3.60
1961/02/07,0.00,25.25,32.50,18.00,3.60
1961/02/08,0.00,26.00,34.00,18.00,3.30
1961/02/09,0.00,25.75,34.00,17.50,3.20
1961/02/10,0.10,26.25,33.50,19.00,2.60
1961/02/11,0.00,25.75,32.00,19.50,3.00
1961/02/12,0.00,25.25,33.50,17.00,4.00
1961/02/13,0.00,25.75,34.00,17.50,4.60
1961/02/14,0.00,25.40,34.50,16.30,3.30
1961/02/15,0.00,26.25,35.50,17.00,4.10
1961/02/16,0.00,26.50,36.00,17.00,4.20
1961/02/17,0.00,26.50,34.50,18.50,4.20
1961/02/18,0.00,26.75,34.50,19.00,4.30
1961/02/19,0.00,26.50,35.00,18.00,3.80
1961/02/20,0.00,26.00,33.50,18.50,3.10
1961/02/21,0.00,26.50,34.50,18.50,3.50
1961/02/22,0.00,27.00,36.00,18.00,3.70
1961/02/23,1.00,26.25,32.00,20.50,2.20
1961/02/24,0.00,26.75,34.50,19.00,3.80
1961/02/25,0.00,24.80,31.50,18.10,2.80
1961/02/26,0.00,25.75,35.00,16.50,3.70
1961/02/27,0.00,26.50,36.00,17.00,4.50
1961/02/28,0.00,25.75,35.50,16.00,4.80
1961/03/01,0.00,26.75,36.50,17.00,6.10
1961/03/02,0.00,27.25,36.00,18.50,2.90
1961/03/03,10.40,26.55,35.00,18.10,3.40
1961/03/04,0.00,27.25,35.00,19.50,5.00
1961/03/05,0.00,27.00,35.00,19.00,4.10
1961/03/06,0.00,28.00,36.50,19.50,5.00
1961/03/07,0.00,27.50,35.50,19.50,4.60
1961/03/08,0.00,26.75,34.00,19.50,2.80
1961/03/09,0.00,27.00,36.00,18.00,4.80
1961/03/10,0.00,25.75,33.50,18.00,3.70
1961/03/11,0.00,28.00,35.50,20.50,4.80
1961/03/12,0.00,26.25,35.00,17.50,4.60
1961/03/13,2.70,26.50,33.50,19.50,3.70
1961/03/14,0.00,25.75,33.00,18.50,3.50
1961/03/15,0.00,26.25,35.50,17.00,5.30
